map,wait_time_s,ping,kills,assists,deaths,mvps,hs_percent,points,result
Dust II,297.0,263.0,8.0,3.0,16.0,1.0,25.0,23.0,Win
Dust II,87.0,133.0,13.0,6.0,18.0,0.0,23.0,36.0,Win
Mirage,106.0,0.0,5.0,2.0,11.0,0.0,0.0,16.0,Lost
Mirage,386.0,85.0,13.0,4.0,21.0,2.0,46.0,35.0,Lost
Dust II,21.0,164.0,22.0,6.0,13.0,5.0,21.0,58.0,Win
Dust II,57.0,160.0,6.0,8.0,21.0,0.0,16.0,20.0,Lost
Mirage,17.0,130.0,15.0,4.0,10.0,2.0,0.0,40.0,Win
Dust II,308.0,92.0,13.0,4.0,15.0,1.0,23.0,33.0,Win
Dust II,85.0,92.0,12.0,6.0,21.0,2.0,33.0,32.0,Lost
Dust II,179.0,111.0,12.0,3.0,12.0,1.0,30.0,31.0,Win
Dust II,184.0,108.0,14.0,4.0,14.0,0.0,42.0,35.0,Win
Dust II,21.0,449.0,13.0,3.0,22.0,0.0,7.0,31.0,Lost
